Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0
1,0.252984840614202,4.47171231977873,0.6,0.253111257015993,0.0552363636363636,1.04651162790698,0.0552363636363636,1.04651162790698,0.372974970898935,0.157340272866222,0.111661392737429,0.0471045924598784,0.49931762554761,2.10478474252221,0.277175713961829,1.84302325581395,0.921511627906977,0.50928202042817,0.412229607478807,0.50385198547153,0.839753309119216,0.421852095026655,0.333333333333333,0.666666666666667,2,2,0.447340646601608,0.552659353398392,0.201905747311509,0.0041067350251439,0.00333333333333333,0.00288690244926226,0.701594914174071,5.84662428478392,1
2,0.741360185184722,0.684786579289786,0.717015337322892,0.833266524408901,0.0689590713769573,1.0386278235914,0.0689590713769573,1.0386278235914,0.445714624286826,0.517979262820778,0.133438218632619,0.155072834394957,0.0913767012839536,2.85875226447682,0.977519701630481,1.11219383687164,1.78278042559666,1.26422074286882,0.518559682727843,0.424994912838514,0.708324854730856,1.16213207868057,0.615819093354092,0.384180906645908,0.623853516060125,0.623853516060125,0.290871312744132,0.709128687255868,0.371731157645472,0.0338331041087442,0.0861361277866195,0.0468387887735147,0.910565536092616,1.29785082202962,27.0427377934736
3,0.999829029457754,0.680014327430121,1.03512663325261,1.27725682966216,0.106264850626897,1.02644296010772,0.106264850626897,1.02644296010772,0.643460543190176,0.793974714789518,0.19263946921432,0.237700460805782,0.130997599094271,4.73710150825053,1.54343439115355,1.2054927356885,1.80428801967552,1.23189640223943,0.572391617436088,0.41795907701182,0.696598461686366,1.23391359919773,0.599474900774724,0.400525099225276,0.668126553267973,0.668126553267973,0.317239604317178,0.682760395682822,0.333924819000558,0.0505166442298069,0.141303000712007,0.0511286995152944,1.45273843065597,1.59542435230956,1.70382894921873
4,1.27682369678314,0.688197442302459,1.42695446336727,1.84213589685448,0.152215568885798,1.01904370425101,0.152215568885798,1.01904370425101,0.887030499080855,1.14511763753531,0.265559537920799,0.342825766423972,0.182757394776117,7.30014038097543,2.28482238406475,1.28286980459833,1.80835588011955,1.1840040375682,0.624351842551357,0.41115110248325,0.685251837472083,1.29095632982393,0.584996394491523,0.415003605508477,0.709412244957845,0.709412244957845,0.3452593869466,0.6547406130534,0.298952088226535,0.0700082776449121,0.213993773852149,0.0542501780176391,2.18107764087019,1.50135605615206,1.55447797690511
5,1.55785142477263,0.702350429563748,1.88916300030734,2.52841234719125,0.206420024581497,1.01431770156269,0.206420024581497,1.01431770156269,1.17435085843829,1.57172420269027,0.351577619537227,0.470543406836476,0.246930692106971,10.6116190767783,3.20907778360664,1.35033635693536,1.80096666489513,1.12679896965233,0.674167695242795,0.404748536046198,0.67458089341033,1.33837702028883,0.571499044179194,0.428500955820806,0.749784203814782,0.749784203814782,0.374336576230884,0.625663423769116,0.267265694739515,0.0914311372626036,0.304952576336772,0.0566255220702798,3.1112059133866,1.4264535361269,1.45219179706519
6,1.83095348885861,0.719737108432044,2.41524769648209,3.3299302868711,0.268115411678354,1.01116422944577,0.268115411678354,1.01116422944577,1.50137823218188,2.06996775306872,0.449483202658427,0.61970775591762,0.32350974057015,14.6961006168821,4.31367934476468,1.41011911353249,1.78712155781594,1.06540080851377,0.721720749302175,0.398773241831402,0.664622069719003,1.378711712145,0.558957470368418,0.441042529631582,0.789044879104814,0.789044879104814,0.403845360236265,0.596154639763735,0.239034028521961,0.113840083221587,0.413644021614112,0.0584333442580423,4.24790910937103,1.36535775118372,1.3758416417031
7,2.08673616314833,0.738959679764181,2.99697513426098,4.23609639397304,0.33633617483606,1.00897774320667,0.33633617483606,1.00897774320667,1.86299452247637,2.6332632154453,0.557744029151705,0.788347371868381,0.412150349172328,19.5449542940813,5.58851211165783,1.46357858249587,1.76993047999804,1.00299056427656,0.766939915721482,0.393227829958086,0.65537971659681,1.41345730418201,0.547371430167864,0.452628569832136,0.826913033611064,0.826913033611064,0.433316406711257,0.566683593288743,0.2141002257107,0.136323834387074,0.538618230830119,0.0597867778276645,5.58709505812969,1.31525767484158,1.31666713377733
8,2.31849144123899,0.759147032851199,3.62529272941628,5.23370894734452,0.410020692813364,1.00741023551813,0.410020692813364,1.00741023551813,2.25357241709026,3.25340407054886,0.674675392079159,0.97400538373805,0.512177822034613,25.1224807154341,7.01818969949658,1.51165370891599,1.75129992271799,0.941498407297385,0.809801515420602,0.388101912073988,0.646836520123313,1.44366519836516,0.536722283068728,0.463277716931272,0.863160952219955,0.863160952219955,0.462400246191871,0.537599753808129,0.192166234923816,0.158092219146184,0.677883843584369,0.0607779643651626,7.11757965979093,1.27393208558967,1.26985993326273
9,2.52196536980828,0.779708721842031,4.29100182168324,6.30833934568918,0.488090213633762,1.00625341716757,0.488090213633762,1.00625341716757,2.66739379928264,3.92142113979838,0.798565399413324,1.17399659533329,0.622648406883833,31.3726203822914,8.58404747035411,1.55505662116568,1.73238477091015,0.882062257751287,0.850322513158861,0.383376489410825,0.638960815684708,1.47013205956053,0.526970541615115,0.473029458384885,0.897639281571784,0.897639281571784,0.490839291269066,0.509160708730934,0.172891350081416,0.178515116841049,0.829187990296359,0.0614845041888343,8.82295878105003,1.23960098836592,1.23226490275439
10,2.69495993967729,0.80023326257246,4.98521937651715,7.44533085016257,0.569502999609738,1.00537791332009,0.569502999609738,1.00537791332009,3.09893675313548,4.62820342862054,0.927760897805867,1.38559335353349,0.742425130138343,38.2253763750721,10.2657507537224,1.59436404501557,1.71387003289093,0.825318717222579,0.888551315668347,0.379027535242689,0.631712558737815,1.49348108635575,0.518061900255707,0.481938099744293,0.930271265859187,0.930271265859187,0.518447314333138,0.481552685666862,0.155940682017909,0.197129191829601,0.990214356609279,0.061970359492196,10.6833598704265,1.21085909336585,1.20166547481031
11,2.83689472569774,0.820432904558797,5.69966891822315,8.63048319930176,0.653288445864352,1.00470062684346,0.653288445864352,1.00470062684346,3.54305641484641,5.36492370017221,1.06072161591838,1.60615295671836,0.87025091627622,45.6024346979405,12.0425222380379,1.63006148697027,1.69614671581522,0.771587741678857,0.924558974136365,0.375028629335391,0.625047715558985,1.51420781156395,0.509934018680732,0.490065981319268,0.9610380232861,0.9610380232861,0.545093750154739,0.45490624984526,0.1410068012166,0.213625964043388,1.15871498108788,0.0622869815113762,12.676950005154,1.18660703738401,1.17645885665393
12,2.94839602318407,0.840108461524517,6.42684382064039,9.85049198950712,0.7385662298751,1.00416655133524,0.7385662298751,1.00416655133524,3.99508647829225,6.12331160521102,1.19605055319774,1.83319942449541,1.0048121901525,53.4217735487933,13.8940304865789,1.66256606847923,1.67942216629688,0.720990359884698,0.958431806412185,0.37135275619948,0.618921260332467,1.53271065306914,0.502521866720272,0.497478133279728,0.989963156283202,0.989963156283202,0.5706914113951,0.4293085886049,0.12781742481116,0.227830703334099,1.33259159562119,0.0624750087579429,14.7811551747727,1.16598670569523,1.15546586805146
13,3.03094316990098,0.859125143034147,7.16008034291427,11.0932051162735,0.824554876578128,1.00373827565272,0.824554876578128,1.00373827565272,4.45088459588748,6.8958130923634,1.33250757200282,2.06447122200845,1.14479075839101,61.6012495784551,15.8009977799745,1.69223974425101,1.66378962970668,0.673524022300558,0.99026560740612,0.367973457906334,0.613289096510556,1.54931293854147,0.495761343037534,0.504238656962466,1.01709958641186,1.01709958641186,0.595186789077836,0.404813210922164,0.11613614691913,0.239678199091813,1.50994054857217,0.0625661441812957,16.9735953797788,1.14832671594897,1.13780681070119
14,3.08658003347196,0.877395334588576,7.8935697475729,12.3477479622959,0.910573179488094,1.00338972863812,0.910573179488094,1.00338972863812,4.90683991148286,7.67566822817451,1.4690116528067,2.29794455773451,1.28890397062885,70.0612545782455,17.7455869107188,1.71939809381852,1.64927226975043,0.629110985077642,1.02016128467278,0.364865523483243,0.608109205805406,1.56427932572492,0.489591468368873,0.510408531631127,1.04251925249353,1.04251925249353,0.618552378151097,0.381447621848903,0.105759959149547,0.249188936170873,1.68907263507689,0.0625849204027137,19.2327660009323,1.13309912075817,1.12281695844744
15,3.1176886193928,0.894866092104571,8.62233122521652,13.6045577174265,0.996037025502665,1.00310233914842,0.996037025502665,1.00310233914842,5.35985622967685,8.45693253125005,1.60463585541849,2.53183977050762,1.43593421718922,78.7265805448381,19.7116203694632,1.74431693268348,1.6358510932767,0.587629432783592,1.04822166049311,0.362005361109805,0.603342268516341,1.5778282418146,0.483955555082803,0.516044444917197,1.06630544788127,1.06630544788127,0.640780609433994,0.359219390566006,0.0965155222800839,0.256447518446532,1.86851636746798,0.0625502223466286,21.5385059864978,1.1198860312372,1.10998786669955
16,3.12681700260926,0.911509954133653,9.34216111082312,14.8553571214085,1.08045343936017,1.00286261419901,1.08045343936017,1.00286261419901,5.80732044740403,9.23446065008434,1.73859786801992,2.76461644298058,1.58474926293571,87.5276400118419,21.6846764351154,1.76723770159047,1.62348267323333,0.548933489169753,1.07454918406358,0.359371161341529,0.598951935569216,1.59014139717609,0.478801698095702,0.521198301904298,1.08854731296321,1.08854731296321,0.661879059000675,0.338120940999325,0.0882551784939303,0.261584125099552,2.04701081901932,0.0624765373019254,23.8722944457716,1.10835424057439,1.09892606592625
17,3.11655242106105,0.927318137502868,10.0495691177713,16.0930897041497,1.16341310562955,1.00266057330167,1.16341310562955,1.00266057330167,6.24706291541267,10.0038661067986,1.870248140169,2.99496134968954,1.73431502200972,96.401179046989,23.6520976201432,1.78837204550275,1.61211037129413,0.512866037145219,1.09924433414891,0.35694292770699,0.594904879511651,1.60137111507509,0.474082842872829,0.525917157127171,1.10933598427701,1.10933598427701,0.681866672234413,0.318133327765587,0.0808531718513044,0.264759166186645,2.22349230334985,0.0623749514245568,26.2174137404306,1.09823602419056,1.08932365343193
18,3.08943067707149,0.942295467930181,10.741708833223,17.3118322580532,1.24458221771433,1.00248871318023,1.24458221771433,1.00248871318023,6.67731423246029,10.7614668877577,1.99905694782936,3.2217721679516,1.88370230207395,105.29060279024,25.6029388732354,1.80790576977461,1.60167140045147,0.47926686415065,1.12240453630082,0.35470242680934,0.591170711348901,1.61164601711317,0.469756606314111,0.530243393685889,1.12876197281478,1.12876197281478,0.70077079230137,0.29922920769863,0.074202270065853,0.266150968821599,2.39707777482539,0.0622539301070253,28.5590118249755,1.08931461004233,1.08093712415111
